country,nuclear,fossil,gas,oil,renewable,other
at,0,0,8.454899318,5.743347265,79.5523584,6.249395014
be,74.01866236,0,0,0,21.58334947,4.397988162
bg,33.75646484,48.56554512,0.567530405,0.208045084,16.60157281,0.30084174
hr,0,0,29.21343242,16.70085741,52.14011693,1.945593244
cy,0,0,0,0,97.51391044,2.486089557
cz,25.67362156,55.4858779,0.68961818,0.400178905,16.26987466,1.480821474
dk,0,0,27.43714015,43.63757672,26.51198115,2.413308284
ee,0,0,0,0,27.01460441,72.98537833
fi,29.83330081,0,0,0,64.51828637,5.648418361
fr,78.59200003,0,0.01070292,0.586094581,19.5791325,1.232069214
de,16.97476779,34.06438195,5.206864734,1.943842241,36.80715247,5.002991681
gr,0,60.88958599,0.120838752,1.8585624,37.13101286,0
hu,36.63710161,11.51107411,12.6554722,6.394806933,28.62297785,4.178576266
ie,0,0,58.59706006,0,23.49875017,17.90418977
it,0,0,12.37077967,11.28552308,72.38273229,3.960962236
lv,0,0,0,0,99.72302327,0.276976725
lt,0,0,0,3.221772782,94.44578757,2.332382628
lu,0,0,0,0,80.77971675,19.22028325
mt,0,0,0,0,100,0
nl,1.892731305,0,79.51528434,2.327587222,13.43922656,2.825172976
pl,0,77.35272748,5.484929081,1.579020766,14.2151383,1.368182816
pt,0,0,0,0,97.06780008,2.932199922
ro,11.41114892,17.53386426,33.45297048,13.75920772,22.94190096,0.900907655
sk,62.5624447,7.007715983,1.833511365,0.094495196,25.35691207,3.144889284
si,42.33551142,26.55495736,0.204294945,0.007112343,29.43670811,1.461415823
es,44.20981317,3.295154021,0.069589223,0.357278049,51.30951211,0.758653425
se,44.6866272,0,0,0,52.9914856,2.321887196
gb,12.80262538,1.55558442,30.48917579,37.75110057,13.23518106,4.166332784
eu,27.79236841,16.41583215,13.596643,8.80328646,29.88437285,3.507496597
